TF	z-score	(adj) p-value	(log) fold change	TF_target_enrichment	targets
RBL2	-3.16227766017	0.129498223249	-0.830732840234	6.95753916733	TGFB1, DHFR, FOXO3, FOXO4, MYBL2, CDC6, CCNA2, CCNA1, TOP2A, BRCA1, PCNA, RBL1, CDC25C, CDC25A, E2F5, E2F4, E2F1, LIN9, CCND1, CCND3, CCND2, RBBP7, RBBP4, CDK1, CDK4, CDK6, LIN54, TFDP2, TFDP1
GLI2	-2.82842712475	0.172741997657	-0.554695060088	0.632653237949	TGFB1, BTRC, MYF5, FOXE1, EVC, FUZ, BMP2, SMO, AKT1, MAP2K1, ARRB2, EVC2, ARRB1, IL1B, GAST, HHIP, PTHLH, IFT88, MKS1, GLI3, CSNK1D, GLI1, PTCH2, KRT6A, CDH1, RPGRIP1L, IFT122, KIF3A, IFT52, IFT57, KIF7, ASCL1, PRKCD, INTU, CSNK1G3, CSNK1G1, SUFU, SHH, DYNC2H1, OFD1, FGFR1, CSNK1G2, RAB23, CSNK1A1, DZIP1, CCND1, IFT172, CCND2, TTC21B, GSK3B, RUNX2, CSNK1E, PRKACG, PRKACA, CDON, STK36, PRKACB, BMP4, RPS3, PTCH1, JAG1, BCL2
FOXO3	-2.71068738274	0.00029205293175	-1.12581014407	8.79884110255	MOV10, HSPA4, PLK1, PRKAG3, PRKAG2, IKBKB, AKT1, AKT2, AKT3, TNRC6C, TNRC6B, TNRC6A, PMAIP1, ADIPOQ, RAN, GADD45A, ABCB1, PRKAG1, CSNK1E, CDH1, MYC, CDKN2B, STK11, CTSL, SP1, TSC22D3, STK4, SNAI1, SETD7, GATA1, NME1, FOXM1, FOXP3, TNFSF10, CDKN1B, CDKN1A, KAT2B, PINK1, MTDH, XPO1, MST1, RRM2B, NLK, SIRT1, PRKAB2, PRKAB1, NUPR1, CHUK, VEGFA, BNIP3, ESR2, G6PC, FBXO32, AGO4, AGO1, AGO3, AGO2, SPHK1, MAPK14, CCNG2, MAPK10, MAPK11, MAPK12, MAPK13, BCR, STAT3, MAPK3, MAPK1, CITED2, MAPK8, MAPK9, RBL2, PAWR, EP300, SGK2, SGK1, IRS2, LEP, PRKACG, PRKACA, PRKACB, VMP1, LCN2, BIRC5, PRDX3, PRKAA2, PRKAA1, CAT, MYOCD, FOXO4, SOD2, BBC3, YWHAZ, GABARAPL1, YWHAQ, YWHAH, YWHAB, YWHAG, YWHAE, DNMT3B, NOS3, CYR61, AR, BCL2L11, CCNB1, CASP8, PDK4, FASLG, BCL6
CDC6	-2.44948974278	0.528265514241	0.331220699147	1.482724968	POLA2, POLA1, YY1, LIN37, POLE, TFDP2, FOXM1, CCNA2, CCNA1, CDK2, POLE4, PRIM1, CACUL1, RYBP, CUL1, FBXW7, SRF, RBL2, TRAF7, GATA1, E2F7, E2F5, E2F4, E2F3, E2F2, LIN9, RBBP4, CDK1, CCNF, CDK3, POLE3, POLE2, LIN54, LIN52, TFDP1
RORA	-2.44948974278	0.000558678948459	-1.01561520606	8.06460154515	CPT1A, ARNTL, CLOCK, NPAS2, HIF1A, SREBF1, SULT1E1, NR1D1
ELK1	-2.2360679775	0.5837613526	-0.17395988023	4.34360000052	ACTA2, RPS6KA3, ITGB6, FOS, PRKCA, EGR1, JUN, PRKCB, KATNB1, MAPK14, MAPK3, MAPK1, MAPK10, CITED2, MAPK8, TAGLN
CTF1	-2.2360679775	0.629994105279	-0.332918239974	0.696713243905	IL7R, CCL2, CSF2RA, CRLF2, IL10RA, GHR, IL5RA, IL6ST, IFNAR2, SOST, IL20RB, LIFR, IFNGR2, AGT, MYOG, IL4R, IFNGR1, IFNLR1, IL12RB1, CSF2RB, IL12RB2, HSP90AA1, HBEGF, OSMR, ICAM1, IL27RA, EDN1, UCN, IL20RA, NOS2, RALGDS, IL2RA, GRB2, IL13RA1, LEPR, VEGFA, CSF3R, AL162231.3, CNTFR, GATA4, IL6R, IL22RA1, EPOR, IL13RA2, IL2RB, SOCS1, AP000295.1, SOS1, IL2RG, IL22RA2, MPL, IL21R, IL6, VIP, IFNAR1, IL3RA, IL9R, IL15RA, SHC1, IL23R
NFATC2	-2.2360679775	0.0562150300015	0.925595759774	0.843448937169	NFATC1, CD40LG, PPP3R2, PPP3R1, FOXP3, MAPK14, REL, MS4A2, PRKCZ, XPO1, MAP3K8, STAT3, RAN, EGR3, RNF128, GBP3, NUP214, PRKACA, MAPK8, DGKA, CTLA4, IKZF1, IFNG, NR4A1, FCER1G, SPP1, TNF, FASLG, LGALS3, FCER1A, PTPN1, CDK4, CASP3, IL2RA, TP53, CSNK1A1, PTGS2, PTPRK, SLC3A2, CXCL8, NOTCH1, CSF2, GSK3B, IL6, EGR2, IL4, IL5, IL2, IL3, FKBP1A, PPP3CA, PPP3CB, PPP3CC, WNT7A, PPIA, CDC42
EP300	-2.19089023002	0.512364803781	-0.216535615963	12.0043146365	PCK1, CDX1, CD36, AKT1, ADIPOQ, PLIN1, GADD45A, RBPJ, CAMK4, EDN1, MYC, RBPJL, CAMK2D, CREB5, CAMK2G, DMP1, CAMK2A, CREB1, LPL, FOXH1, EHHADH, GATA3, GTF2F1, EPO, CCND2, CSF2, SFN, ANGPTL4, VDR, CDKN1A, NFKBIA, CARM1, SLC2A1, APOA1, APOA2, ARNTL, GTF2E1, CCNE2, EGR1, JUN, PRKACG, JUP, CDC25A, NR1H3, GCK, IGFBP3, VEGFA, IRF1, TP53, GZMB, IVL, IRF9, HNF4A, GTF3A, MEF2A, KRT14, CREM, MEF2D, HES1, HES5, SKIL, HDAC3, YY1, SMAD4, SMAD2, SMAD3, MAPK14, FABP4, ME1, FABP1, IL1B, NCOA2, STAT6, HEYL, STAT4, STAT3, STAT2, STAT1, ASPH, FHL2, PML, CITED2, BNIP3L, ELL, CDH1, HIST1H1E, HEY2, RELA, HEY1, FOXO3, SGK1, ACOX1, LEP, STAT5B, STAT5A, SREBF1, PRKACA, HOXA1, PRKACB, MYF6, MMP1, TCF7L2, BAX, CTNNB1, FOXO1, GTF2A1, FOXO4, NR1D1, EIF2S1, ODC1, MEF2C, CEBPA, MYOD1, NPAS2, RB1, ABCB1, KLF4, TERT, HSD17B4, LDHA, CPT1A, NR3C1, NOS3, CREB3, NR4A1, AR, CAMK2B, CA9, CREB3L2, CREB3L3, NCL, CREB3L4, ATF4, ATF6B, ATF2, BCL2
E2F3	-2.1380899353	0.274452064672	-0.423064740322	9.36497296927	POLA1, TYMS, CDKN1A, EZH2, RRM2, RRM1, EED, SERPINE1, CDC6, CAV1, SPI1, CCNA2, CCNA1, CCNE2, CCNE1, SUZ12, FAM129B, MYC, RBL1, E2F6, PLAU, ORC1, VEGFA, TK1, CASP7, CCND1, TBP, CCND3, CCND2, MEF2C, CDK1, CDK2, CDK3, CDK4, CDK6, MAX, MCM3
